filename,problem,model,prompt_type,run_number,overall_passed,constraints_passed,constraints_total,error_count,structural_errors,logical_errors,attribute_errors,structural_constraints_passed,logical_constraints_passed,attribute_constraints_passed
directedSocialNetwork_Llama32_directprompt_run4_output.json,DirectedSocialNetwork,Llama32,directprompt,4,False,6,9,10,0,9,1,3,0,3
directedSocialNetwork_Llama32_directprompt_run5_output.json,DirectedSocialNetwork,Llama32,directprompt,5,False,7,9,6,0,5,1,3,1,3
directedSocialNetwork_Llama32_iterativefeedback_run1_output.json,DirectedSocialNetwork,Llama32,iterativefeedback,1,False,5,9,12,0,10,2,3,0,2
directedSocialNetwork_Llama32_iterativefeedback_run2_output.json,DirectedSocialNetwork,Llama32,iterativefeedback,2,False,6,9,9,0,8,1,3,0,3
directedSocialNetwork_Llama32_iterativefeedback_run3_output.json,DirectedSocialNetwork,Llama32,iterativefeedback,3,False,6,9,10,0,9,1,3,0,3
directedSocialNetwork_Llama32_iterativefeedback_run4_output.json,DirectedSocialNetwork,Llama32,iterativefeedback,4,False,6,9,11,0,10,1,3,0,3
directedSocialNetwork_Llama32_iterativefeedback_run5_output.json,DirectedSocialNetwork,Llama32,iterativefeedback,5,False,7,9,6,0,5,1,3,1,3
directedSocialNetwork_Llama32_programaugmented_run1_output.json,DirectedSocialNetwork,Llama32,programaugmented,1,False,6,9,6,0,5,1,3,0,3
directedSocialNetwork_Llama32_programaugmented_run2_output.json,DirectedSocialNetwork,Llama32,programaugmented,2,False,5,9,7,0,5,2,3,0,2
directedSocialNetwork_Llama32_programaugmented_run3_output.json,DirectedSocialNetwork,Llama32,programaugmented,3,False,4,9,10,0,5,5,3,0,1
directedSocialNetwork_Llama32_programaugmented_run4_output.json,DirectedSocialNetwork,Llama32,programaugmented,4,False,5,9,5,1,0,4,2,2,1
directedSocialNetwork_Llama32_programaugmented_run5_output.json,DirectedSocialNetwork,Llama32,programaugmented,5,False,7,9,8,0,7,1,3,1,3
directedSocialNetwork_o1_directprompt_run1_output.json,DirectedSocialNetwork,o1,directprompt,1,True,9,9,0,0,0,0,3,2,4
directedSocialNetwork_o1_directprompt_run2_output.json,DirectedSocialNetwork,o1,directprompt,2,True,9,9,0,0,0,0,3,2,4
directedSocialNetwork_o1_directprompt_run3_output.json,DirectedSocialNetwork,o1,directprompt,3,True,9,9,0,0,0,0,3,2,4
directedSocialNetwork_o1_directprompt_run4_output.json,DirectedSocialNetwork,o1,directprompt,4,True,9,9,0,0,0,0,3,2,4
directedSocialNetwork_o1_directprompt_run5_output.json,DirectedSocialNetwork,o1,directprompt,5,True,9,9,0,0,0,0,3,2,4
directedSocialNetwork_o1_iterativefeedback_run1_output.json,DirectedSocialNetwork,o1,iterativefeedback,1,True,9,9,0,0,0,0,3,2,4
